name,created_at,forks,topics,categories
deep-learning-keras-tensorflow,2016-08-02T10:13:21Z,1272,"['anaconda', 'cudnn', 'deep-learning', 'keras', 'keras-tensorflow', 'keras-tutorials', 'python', 'tensorflow', 'theano', 'tutorial']","['Machine Learning', 'Beginner']"
Deep-Learning-with-PyTorch-Tutorials,2018-11-26T04:21:46Z,1261,"['artificial-intelligence', 'convolutional-neural-networks', 'deep-learning', 'generative-adversarial-network', 'machine-learning', 'pytorch', 'recurrent-neural-networks', 'tutorial']","['Machine Learning', 'Beginner']"
QuantumKatas,2018-06-06T20:02:33Z,1207,"['coding-kata', 'hacktoberfest', 'qsharp', 'quantum-computing', 'quantum-programming', 'tutorial-exercises', 'tutorials']",['Beginner']
ROS-Academy-for-Beginners,2017-07-24T04:43:32Z,1204,"['demo', 'gazebo', 'learning', 'robot', 'robotics', 'ros', 'simulation', 'tutorial']",['Beginner']
skill-sample-nodejs-fact,2016-07-13T19:58:38Z,1191,"['alexa-skill-sample', 'ask-sdk-for-nodejs', 'ask-sdk-for-nodejs-v2', 'beginner']",['Beginner']
PyTorchZeroToAll,2017-10-04T23:14:04Z,1190,"['basic', 'deeplearning', 'python', 'pytorch', 'tutorial']",['Beginner']
EpicSurvivalGame,2015-03-20T15:19:26Z,1177,"['c-plus-plus', 'cpp', 'fps', 'game', 'game-development', 'multiplayer', 'survival', 'survivalgame', 'tps', 'tutorial', 'ue4', 'unreal-engine-4']",['Beginner']
computervision-recipes,2019-02-11T16:23:51Z,1155,"['artificial-intelligence', 'azure', 'computer-vision', 'convolutional-neural-networks', 'data-science', 'deep-learning', 'image-classification', 'image-processing', 'jupyter-notebook', 'kubernetes', 'machine-learning', 'microsoft', 'object-detection', 'operationalization', 'python', 'similarity', 'tutorial']","['Machine Learning', 'Beginner']"
pytorch-sentiment-analysis,2017-12-13T13:36:40Z,1154,"['bert', 'cnn', 'cnn-text-classification', 'fasttext', 'lstm', 'lstm-sentiment-analysis', 'natural-language-processing', 'nlp', 'pytorch', 'pytorch-nlp', 'pytorch-tutorial', 'pytorch-tutorials', 'recurrent-neural-networks', 'rnn', 'sentiment-analysis', 'sentiment-classification', 'torchtext', 'transformers', 'tutorial', 'word-embeddings']",['Beginner']
howtographql,2017-06-06T21:30:25Z,1148,"['apollographql', 'graphql', 'prisma', 'tutorial']",['Beginner']
